,query_id,iter,doc_id,relevance,title,abstract,text
0,CD010213,0,16628083,0,Solid pseudopapillary tumor of the pancreas suggesting malignant potential.,"It has been suggested that the histopathologic features associated with malignant potential in solid pseudopapillary tumors (SPTs) of the pancreas include cellular polymorphism, mitotic activity, peripancreatic tissue invasion, neural invasion, lymphovascular invasion, and lymph node metastasis. This study aimed to delineate the features predicting SPTs with malignant potential, which can be easily assessed in the clinical setting, and long-term results of patients who underwent resection of SPT.","Solid pseudopapillary tumor of the pancreas suggesting malignant potential. - It has been suggested that the histopathologic features associated with malignant potential in solid pseudopapillary tumors (SPTs) of the pancreas include cellular polymorphism, mitotic activity, peripancreatic tissue invasion, neural invasion, lymphovascular invasion, and lymph node metastasis. This study aimed to delineate the features predicting SPTs with malignant potential, which can be easily assessed in the clinical setting, and long-term results of patients who underwent resection of SPT."
1,CD010213,0,23188452,0,"Acute pancreatitis: the onset digestive manifestation, in a patient with adult T-cell leukemia/lymphoma.","Acute pancreatitis is a common complication, which occurs with patients suffering from vesicular biliary lithiasis or chronic alcoholism. Hypercalcemia may determine acute pancreatitis, its causes being multiple: primary or secondary hyperparathyroidism, metabolic diseases of the bone, metastatic bone neoplasm, as well as lymphoproliferative syndromes caused by the HTLV-1 virus-adult T-cell leukemia/lymphoma (ATLL). ATLL is a malignant and aggressive lymphoproliferation with the T-cell, associated with the infection caused by the HTLV-1 retrovirus. Organomegaly, cutaneous conditions, and hypercalcemia represent the main characteristics of the disease. From a hematologic point of view, we can notice the atypical lymphocytes (also known as flower cells, due to the shape of their nucleus), with a distinct CD4+ CD25+ phenotype. There have been reported few cases of patients who showed acute pancreatitis in the onset of the disease. We will describe the case of a patient whose diagnosis has not been an easy one, as it showed multiple complications from a very early stage.","Acute pancreatitis: the onset digestive manifestation, in a patient with adult T-cell leukemia/lymphoma. - Acute pancreatitis is a common complication, which occurs with patients suffering from vesicular biliary lithiasis or chronic alcoholism. Hypercalcemia may determine acute pancreatitis, its causes being multiple: primary or secondary hyperparathyroidism, metabolic diseases of the bone, metastatic bone neoplasm, as well as lymphoproliferative syndromes caused by the HTLV-1 virus-adult T-cell leukemia/lymphoma (ATLL). ATLL is a malignant and aggressive lymphoproliferation with the T-cell, associated with the infection caused by the HTLV-1 retrovirus. Organomegaly, cutaneous conditions, and hypercalcemia represent the main characteristics of the disease. From a hematologic point of view, we can notice the atypical lymphocytes (also known as flower cells, due to the shape of their nucleus), with a distinct CD4+ CD25+ phenotype. There have been reported few cases of patients who showed acute pancreatitis in the onset of the disease. We will describe the case of a patient whose diagnosis has not been an easy one, as it showed multiple complications from a very early stage."
2,CD010213,0,2552085,0,"[Diagnosis of glucagonoma. Value of scanning, echography and arteriography. Apropos of 2 cases and a review of the literature].","The authors report two cases of glucagonoma, a rare endocrine tumor of the pancreas, and describe the data currently found in literature. Glucagonoma is a single and usually large tumor, which develops in the alpha cells of the islets of Langerhans and evolves slowly. The combination of characteristic skin lesions, diabetes and weight loss should lead to searching for hyperglucagonemia and for the pancreatic tumor. The diagnosis is usually made rather late, average evolution is five years before diagnosis when it is detected. Imaging, in particular ultrasound and computed tomography (CT), proves to be necessary for the positive diagnosis of glucagonoma as it localizes the pancreatic mass and plays a role in local assessment, thus providing guidance for surgery. The role of imaging is also fundamental for the detection of metastases, which are the only sign of malignancy as no criterion of benignity is found for this tumor.","[Diagnosis of glucagonoma. Value of scanning, echography and arteriography. Apropos of 2 cases and a review of the literature]. - The authors report two cases of glucagonoma, a rare endocrine tumor of the pancreas, and describe the data currently found in literature. Glucagonoma is a single and usually large tumor, which develops in the alpha cells of the islets of Langerhans and evolves slowly. The combination of characteristic skin lesions, diabetes and weight loss should lead to searching for hyperglucagonemia and for the pancreatic tumor. The diagnosis is usually made rather late, average evolution is five years before diagnosis when it is detected. Imaging, in particular ultrasound and computed tomography (CT), proves to be necessary for the positive diagnosis of glucagonoma as it localizes the pancreatic mass and plays a role in local assessment, thus providing guidance for surgery. The role of imaging is also fundamental for the detection of metastases, which are the only sign of malignancy as no criterion of benignity is found for this tumor."
3,CD010213,0,23704940,1,Differentiation of pancreatic cancer and chronic pancreatitis using computer-aided diagnosis of endoscopic ultrasound (EUS) images: a diagnostic test.,Differentiating pancreatic cancer (PC) from normal tissue by computer-aided diagnosis of EUS images were quite useful. The current study was designed to investigate the feasibility of using computer-aided diagnostic (CAD) techniques to extract EUS image parameters for the differential diagnosis of PC and chronic pancreatitis (CP).,Differentiation of pancreatic cancer and chronic pancreatitis using computer-aided diagnosis of endoscopic ultrasound (EUS) images: a diagnostic test. - Differentiating pancreatic cancer (PC) from normal tissue by computer-aided diagnosis of EUS images were quite useful. The current study was designed to investigate the feasibility of using computer-aided diagnostic (CAD) techniques to extract EUS image parameters for the differential diagnosis of PC and chronic pancreatitis (CP).
4,CD010213,0,23139619,0,Newly developed autoimmune cholangitis without relapse of autoimmune pancreatitis after discontinuing prednisolone.,"A 57-year-old man presented with a 2-wk history of painless jaundice and weight loss. He had a large ill-defined enhancing mass-like lesion in the uncinate process of the pancreas with stricture of the distal common bile duct. Aspiration cytology of the pancreatic mass demonstrated inflammatory cells without evidence of malignancy. Total serum immunoglobulin G level was slightly elevated, but IgG4 level was normal. After the 2-wk 40 mg prednisolone trial, the patient's symptoms and bilirubin level improved significantly. A follow-up computed tomography (CT) scan showed a dramatic resolution of the pancreatic lesion. A low dose steroid was continued. After six months he self-discontinued prednisolone for 3 wk, and was presented with jaundice again. A CT scan showed newly developed intrahepatic biliary dilatation and marked concentric wall thickening of the common hepatic duct and the proximal common bile duct without pancreatic aggravation. The patient's IgG4 level was elevated to 2.51 g/L. Prednisolone was started again, after which his serum bilirubin level became normal and the thickening of the bile duct was resolved. This case suggests that autoimmune pancreatitis can progress to other organs that are not involved at the initial diagnosis, even with sustained pancreatic remission.","Newly developed autoimmune cholangitis without relapse of autoimmune pancreatitis after discontinuing prednisolone. - A 57-year-old man presented with a 2-wk history of painless jaundice and weight loss. He had a large ill-defined enhancing mass-like lesion in the uncinate process of the pancreas with stricture of the distal common bile duct. Aspiration cytology of the pancreatic mass demonstrated inflammatory cells without evidence of malignancy. Total serum immunoglobulin G level was slightly elevated, but IgG4 level was normal. After the 2-wk 40 mg prednisolone trial, the patient's symptoms and bilirubin level improved significantly. A follow-up computed tomography (CT) scan showed a dramatic resolution of the pancreatic lesion. A low dose steroid was continued. After six months he self-discontinued prednisolone for 3 wk, and was presented with jaundice again. A CT scan showed newly developed intrahepatic biliary dilatation and marked concentric wall thickening of the common hepatic duct and the proximal common bile duct without pancreatic aggravation. The patient's IgG4 level was elevated to 2.51 g/L. Prednisolone was started again, after which his serum bilirubin level became normal and the thickening of the bile duct was resolved. This case suggests that autoimmune pancreatitis can progress to other organs that are not involved at the initial diagnosis, even with sustained pancreatic remission."
5,CD010213,0,15765442,1,EUS-guided fine needle aspiration of pancreatic cysts: a retrospective analysis of complications and their predictors.,"Endoscopic ultrasound-guided fine-needle aspiration (EUS FNA) of pancreatic cysts is considered safe, however, data are conflicting regarding complication rates. The aim of this study was to determine the complication rate of EUS-guided pancreatic cyst aspiration and predictors of these complications.","EUS-guided fine needle aspiration of pancreatic cysts: a retrospective analysis of complications and their predictors. - Endoscopic ultrasound-guided fine-needle aspiration (EUS FNA) of pancreatic cysts is considered safe, however, data are conflicting regarding complication rates. The aim of this study was to determine the complication rate of EUS-guided pancreatic cyst aspiration and predictors of these complications."
6,CD010213,0,19381041,0,[A case of drug induced interstitial pneumonitis after gemcitabine treatment for pancreatic carcinoma].,"A 67-year-old male with pancreatic cancer(cStage IVb)was given gemcitabine on days 1, 8 and 15, and this was repeated on 29 days at dose of 800 mg/m(2) in outpatient clinic. After 2 courses, he suffered from dyspnea and fever. Laboratory examination showed that the serum levels of white cell count, C-reactive protein, lactate dehydrogenase and KL-6 were elevated. Chest X-ray and CT revealed diffuse bilateral interstitial infiltrates. He was diagnosed with drug induced interstitial pneumonia due to gemcitabine. Corticosteroid therapy consisting of methylprednisolone(1,000 mg/day)for three days followed by prednisolone was effective and he was discharged on the 29th day after admission. Gemcitabine is an anti-cancer agent of first-line chemotherapy for patient with pancreatic carcinoma. Acute pulmonary toxicity induced by gemcitabine could lead to severe complication. We should consider the possibility of drug induced interstitial pneumonitis duringg emcitabine therapy.","[A case of drug induced interstitial pneumonitis after gemcitabine treatment for pancreatic carcinoma]. - A 67-year-old male with pancreatic cancer(cStage IVb)was given gemcitabine on days 1, 8 and 15, and this was repeated on 29 days at dose of 800 mg/m(2) in outpatient clinic. After 2 courses, he suffered from dyspnea and fever. Laboratory examination showed that the serum levels of white cell count, C-reactive protein, lactate dehydrogenase and KL-6 were elevated. Chest X-ray and CT revealed diffuse bilateral interstitial infiltrates. He was diagnosed with drug induced interstitial pneumonia due to gemcitabine. Corticosteroid therapy consisting of methylprednisolone(1,000 mg/day)for three days followed by prednisolone was effective and he was discharged on the 29th day after admission. Gemcitabine is an anti-cancer agent of first-line chemotherapy for patient with pancreatic carcinoma. Acute pulmonary toxicity induced by gemcitabine could lead to severe complication. We should consider the possibility of drug induced interstitial pneumonitis duringg emcitabine therapy."
7,CD010213,0,9674184,0,[A new methodology for the preoperative localization of occult insulinomas].,"In patients with hypoglycemic syndrome, preoperative localization of the insulinoma highly contributes to surgical removal. When the ultrasonography, computed tomography, magnetic resonance and pancreatic angiography fail to visualize the tumor, they are called occult insulinomas (OI). In this paper we describe the results of a new diagnostic method to localize OI, performed in 5 patients with hypoglycemic syndrome secondary to endogenous hyperinsulinism. In four out of five patients, computed tomography, magnetic resonance and angiography failed to show any tumor. In just one single case, these imaging methods showed the pancreatic tumor. All patients were studied by selective intraarterial pancreatic stimulation (SIPS): a) infusion of calcium gluconate (0.025 mEq/kg) in each artery that supplies the pancreas: gastroduodenal, superior mesenteric and splenic arteries as well as the hepatic artery; b) insulin venous sampling in the right supra-hepatic vein at 30 and 60 seconds after arterial stimulation (in one patient an additional sample at 90 seconds was obtained). The study was considered pathologic when the gradient (basal vs post-stimulus) increased at least 100%.","[A new methodology for the preoperative localization of occult insulinomas]. - In patients with hypoglycemic syndrome, preoperative localization of the insulinoma highly contributes to surgical removal. When the ultrasonography, computed tomography, magnetic resonance and pancreatic angiography fail to visualize the tumor, they are called occult insulinomas (OI). In this paper we describe the results of a new diagnostic method to localize OI, performed in 5 patients with hypoglycemic syndrome secondary to endogenous hyperinsulinism. In four out of five patients, computed tomography, magnetic resonance and angiography failed to show any tumor. In just one single case, these imaging methods showed the pancreatic tumor. All patients were studied by selective intraarterial pancreatic stimulation (SIPS): a) infusion of calcium gluconate (0.025 mEq/kg) in each artery that supplies the pancreas: gastroduodenal, superior mesenteric and splenic arteries as well as the hepatic artery; b) insulin venous sampling in the right supra-hepatic vein at 30 and 60 seconds after arterial stimulation (in one patient an additional sample at 90 seconds was obtained). The study was considered pathologic when the gradient (basal vs post-stimulus) increased at least 100%."
8,CD010213,0,8698553,0,Radiologic evaluation of simultaneous pancreas-kidney transplantation.,"We describe the radiographic imaging modalities that were used in the first twelve consecutive patients who have undergone simultaneous pancreas and kidney transplantation (SPK) at our institution. The total number of examinations undertaken in this study included ultrasound (n = 22), radionucleide scanning (n = 19), cystography (n = 14), computed tomography (n = 2) and magnetic resonance imaging (n = 1). Eighteen percent (5/22) ultrasound examinations were abnormal (perirenal collection [n = 4], peri-pancreatic collection [n = 1]. Two collections required aspiration and were confirmed as lymphocoeles. Cystography showed ureteric reflux in two patients and radionucleide DTPA scanning revealed a delay in the excretory phase in 20% of patients. CT was used in two patients with SPK and demonstrated large peri-pancreatic collections. No episodes of rejection or late graft pancreatitis were noted in this series. We discuss the role of radiographic imaging in detecting early graft failure and also in defining the surgical complications that may arise following transplantation. We also outline the merits and disadvantages of each imaging modality. We conclude that the most useful initial imaging techniques in the evaluation of patients following SPK are ultrasound including Doppler and nuclear medicine.","Radiologic evaluation of simultaneous pancreas-kidney transplantation. - We describe the radiographic imaging modalities that were used in the first twelve consecutive patients who have undergone simultaneous pancreas and kidney transplantation (SPK) at our institution. The total number of examinations undertaken in this study included ultrasound (n = 22), radionucleide scanning (n = 19), cystography (n = 14), computed tomography (n = 2) and magnetic resonance imaging (n = 1). Eighteen percent (5/22) ultrasound examinations were abnormal (perirenal collection [n = 4], peri-pancreatic collection [n = 1]. Two collections required aspiration and were confirmed as lymphocoeles. Cystography showed ureteric reflux in two patients and radionucleide DTPA scanning revealed a delay in the excretory phase in 20% of patients. CT was used in two patients with SPK and demonstrated large peri-pancreatic collections. No episodes of rejection or late graft pancreatitis were noted in this series. We discuss the role of radiographic imaging in detecting early graft failure and also in defining the surgical complications that may arise following transplantation. We also outline the merits and disadvantages of each imaging modality. We conclude that the most useful initial imaging techniques in the evaluation of patients following SPK are ultrasound including Doppler and nuclear medicine."
9,CD010213,0,11711240,0,Magnetic resonance cholangiopancreatography (MRCP) of intraductal papillary-mucinous neoplasm (IPMN) of the pancreas: case report.,"The intraductal papillary-mucinous neoplasm (IPMN) is the rarest of the cystic pancreatic tumors. Endoscopic retrograde cholangiopancreatography (ERCP) is currently the gold standard for evaluating IPMN's and can demonstrate dilatation of the main duct or side branches, mural nodules, filling defects, and communication between the tumor and the main pancreatic duct. Recent literature has shown that MRCP may be more sensitive and specific in the diagnosis of IPMN In this case report, we present a patient with IPMN of the pancreas where MRCP was superior to ERCP in characterizing the tumor.","Magnetic resonance cholangiopancreatography (MRCP) of intraductal papillary-mucinous neoplasm (IPMN) of the pancreas: case report. - The intraductal papillary-mucinous neoplasm (IPMN) is the rarest of the cystic pancreatic tumors. Endoscopic retrograde cholangiopancreatography (ERCP) is currently the gold standard for evaluating IPMN's and can demonstrate dilatation of the main duct or side branches, mural nodules, filling defects, and communication between the tumor and the main pancreatic duct. Recent literature has shown that MRCP may be more sensitive and specific in the diagnosis of IPMN In this case report, we present a patient with IPMN of the pancreas where MRCP was superior to ERCP in characterizing the tumor."
